"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Tue Sep 28 10:56:35 EET 2021","Tue Sep 28 10:56:35 EET 2021","778","","Main screen","","Main screen","Delete todo","Delete todo",""
"failed","Tue Sep 28 10:56:30 EET 2021","Tue Sep 28 10:56:35 EET 2021","4451","","Main screen","","Main screen","Add Todo","Add Todo",""
